"countries","artist","artist_genres","tracks.track.name","artist_id","tracks.track.id","tracks.track.popularity","danceability","energy","key","loudness","speechiness","acousticness","liveness","valence","tempo"
"austria","Kanye West","rap","True Love","5K4W6rqBFWDnAN6FQUkS6x","06JvOZ39sK8D8SqiqfaxDU",83,0.712,0.861,5,-5.487,0.25,0.0182,0.511,0.388,84.042
"austria","Pashanim","rap","Sommergewitter","34LetYSjEuG2fBb4Z8PwPg","2H7jZg2HliuQhZjfBblLrZ",72,0.787,0.531,11,-10.569,0.101,0.132,0.112,0.721,91.996
"austria","Voyage","other","Gad","7aASXckUdNXJ5X338n8C1D","02eHtj2HTytLQLNkMZGDwp",64,0.447,0.532,5,-9.231,0.389,0.042,0.523,0.364,84.722
"austria","Tate McRae","pop","she's all i wanna be","45dkTj5sMRSjrmBSBeiHym","7l9IqDtVWJurTvkQHq1BGh",67,0.602,0.626,2,-5.323,0.0396,0.0129,0.144,0.619,160.118
"austria","Endzone","hip hop","61 Grad (Deep House RMX)","7uK2QScoOUkqq8tvtvBIL7","5gRXyFtArVXYk8OOSWIXBO",71,0.895,0.553,7,-9.606,0.061,0.393,0.116,0.354,127.968
"germany","Luciano","drill","Beautiful Girl","3CJKkU0XuElRT1z8rEtIYg","2XRn6Qu0Wd1KvOND8JbaTx",85,0.839,0.412,11,-8.816,0.0935,0.287,0.101,0.607,139.901
"germany","Kate Bush","pop","Running Up That Hill (A Deal With God)","1aSxMhuvixZ8h9dK9jIDwL","75FEaRjZTKLhTrFGsfMUXR",84,0.629,0.547,10,-13.123,0.055,0.72,0.0604,0.197,108.375
"germany","Ion Miles","rap","Powerade","1OJvqVmekd5OPxlTeHmlBl","6icjOrzM57QrCAtBeWB5WF",80,0.89,0.72,6,-5.202,0.0729,0.193,0.641,0.935,150.09
"germany","DJ Robin","partyschlager","Layla","06VwNCd4PPAxBuxheaf5bz","3QY5JrK6MU3ebwlvQ0iniO",72,0.443,0.923,5,-2.924,0.0694,0.0013,0.438,0.409,140.08
"germany","Domiziana","other","Ohne Benzin","3XZewrXpRQqqCMuUMAIhvN","3a0F2N6rXJSibQTp77xH4f",73,0.746,0.7,8,-6.42,0.109,0.0427,0.552,0.687,133.044
"germany","Miksu / Macloud","hip hop","Sehnsucht","76dRoxKtDwYkgCQePok9cU","1W1N3usYjgI3XGQA0iX9Vq",80,0.804,0.645,6,-7.069,0.0773,0.642,0.173,0.912,142.09
"germany","Harry Styles","pop","As It Was","6KImCVD70vtIoJWnq6nGn3","4Dvkj6JhhA12EX05fT7y2e",91,0.52,0.731,6,-5.338,0.0557,0.342,0.311,0.662,173.93
"germany","t-low","hip hop","We Made It","3tQzzidoPfVifoURnDfgmD","3JXdzlvJJrKlmfBfoCLsOo",64,0.781,0.711,5,-5.398,0.0581,0.598,0.251,0.767,116.004
"germany","The Ironix","other","COACHELLA","47PlThLkeouzT58n1Urjdm","3gyRaifTaAoQrwtYiQu9ur",66,0.882,0.751,0,-4.837,0.0922,0.0506,0.104,0.638,130.015
"germany","Jack Harlow","hip hop","First Class","2LIk90788K0zvyj2JJVwkJ","0wHFktze2PHC5jDt3B17DC",84,0.902,0.582,5,-5.902,0.109,0.111,0.111,0.332,107.005
"germany","Öwnboss","edm","Move Your Body","37czgDRfGMvgRiUKHvnnhj","6GomT970rCOkKAyyrwJeZi",83,0.848,0.821,2,-5.408,0.0527,0.0169,0.0962,0.249,125.051
"germany","Panic! At The Disco","other","House of Memories","20JZFwl6HVl6yg8a4H3ZqK","2DgdHcjWmO3qd50RzuBLgZ",87,0.506,0.817,11,-5.051,0.0335,0.00272,0.0486,0.506,109.952
"germany","Benzz","other","Je M'appelle","2GYIFLUsVVHPPUzOfJndRh","6A3SB2C4U6JtCavQOXLYNN",81,0.807,0.75,11,-4.396,0.237,0.17,0.164,0.961,141.176
"germany","SDP","pop","Die schönsten Tage","1EfwyuCzDQpCslZc8C9gkG","5h6yetX656MwIB1jAuAEjI",73,0.719,0.603,8,-5.737,0.0325,0.608,0.116,0.697,120.048
"germany","Glass Animals","pop","Heat Waves","4yvcSjfu4PC0CYQyLy4wSq","02MWAaffLxlfxAUY7c5dvx",89,0.761,0.525,11,-6.9,0.0944,0.44,0.0921,0.531,80.87
"germany","Imanbek","pop","Belly Dancer","5rGrDvrLOV2VV8SCFVGWlj","7fZBQnc0zXwVybgCIrQQil",83,0.845,0.797,1,-4.984,0.139,0.0582,0.167,0.422,121.985
"germany","Domiziana","other","Ohne Benzin - 1,1x Speed Version","3XZewrXpRQqqCMuUMAIhvN","2MrKx1k7CSLryCP1sf3cwl",67,0.685,0.758,10,-5.96,0.0814,0.0358,0.364,0.619,146.907
"germany","CIVO","hip hop","Weg von mir","3pOnFT5MHIqIe9kcFCznZ8","0h14I7cPYi1RZG6GmVpMso",76,0.566,0.481,9,-10.706,0.205,0.783,0.575,0.671,143.857
"germany","Tiësto","big room","The Motto","2o5jDhtHVPhrJdv3cEQ99Z","18asYwWugKjjsihZ0YvRxO",90,0.754,0.763,7,-4.627,0.0435,0.0301,0.0901,0.464,117.953
"germany","Tream","partyschlager","LEBENSLANG - HBz Remix","6vNAKgK5d74N1I0zTxRPDp","4FXX4P3dxc1JMBx5wVRJ5N",74,0.774,0.752,1,-5.534,0.137,0.0481,0.0719,0.546,139.965
"germany","Julian Sommer","partyschlager","Dicht im Flieger","77puYb4Nubacm3PAzkY1UQ","6sS77FZh2eJfYBsFUW6hjI",72,0.607,0.958,8,-1.131,0.0866,0.0412,0.259,0.404,136.036
"germany","Lost Frequencies","edm","Where Are You Now","7f5Zgnp2spUuuzKplmRkt7","3uUuGVFu1V7jTQL60S1r8z",90,0.671,0.636,6,-8.117,0.103,0.515,0.172,0.262,120.966
"germany","Elley Duhé","alt z","MIDDLE OF THE NIGHT","67MNhiAICFY6Pwc2YxCO0K","58HvfVOeJY7lUuCqF0m3ly",92,0.41,0.611,4,-8.271,0.0467,0.0228,0.116,0.0899,185.727
"germany","Romero","other","Sie Liebt Techno","2Lg7y5DHmBMrxRI6Y4ThfU","3EngNejou3x0co3Ed68X7U",73,0.848,0.642,9,-8.895,0.304,0.144,0.244,0.603,139.928
"germany","Camila Cabello","pop","Bam Bam (feat. Ed Sheeran)","4nDoRrQiYLoBzwC5BhVJzF","2DB4DdfCFMw1iaR6JaR03a",83,0.756,0.697,8,-6.377,0.0401,0.182,0.333,0.956,94.996
"germany","Farruko","latin","Pepas","329e4yvIujISKGKz1BZZbO","2B4GHvToeLTOBB4QLzW3Ni",78,0.762,0.766,7,-3.955,0.0343,0.00776,0.128,0.442,130.001
"germany","Leony","other","Remedy","2NpPlwwDVYR5dIj0F31EcC","2xSIcmvFQHs2CeS34Mgp62",42,0.554,0.748,0,-3.288,0.144,0.0569,0.127,0.378,172.244
"germany","Kanye West","rap","True Love","5K4W6rqBFWDnAN6FQUkS6x","06JvOZ39sK8D8SqiqfaxDU",83,0.712,0.861,5,-5.487,0.25,0.0182,0.511,0.388,84.042
"germany","Bozza","hip hop","Nie mehr zurück (feat. Kool Savas & Sido)","4WoSAKuoaPxrbwp3Y1PvKb","52c2AgZdJgB34tYvo9uL20",69,0.587,0.679,1,-5.279,0.354,0.361,0.278,0.54,91.565
"germany","Loredana","rap","Ballade","2Im8m4STDBosjfmb5hmP80","2aFNMpa0JR8tNuyY8UIBS9",66,0.835,0.531,5,-6.635,0.208,0.333,0.0422,0.549,90.025
"germany","Elton John","other","Cold Heart - PNAU Remix","3PhoLpVuITZKcymswpck5b","6JIC3hbC28JZKZ8AlAqX8h",84,0.795,0.8,1,-6.32,0.0309,0.0354,0.0915,0.934,116.032
"germany","Lucio101","rap","Hier","4LwRgSkj7AJJTKLnEaHjMv","0vHtlgsJoyA91YMNdImnCL",66,0.729,0.621,9,-9.651,0.109,0.151,0.109,0.616,76.459
"germany","Jax Jones","pop","Where Did You Go? (feat. MNEK)","4Q6nIcaBED8qUel8bBx6Cr","3sa06xVNmLLYIxdNNmVQN8",85,0.763,0.782,7,-4.541,0.0346,0.182,0.293,0.502,127.034
"germany","t-low","hip hop","Crashen","3tQzzidoPfVifoURnDfgmD","5STeQZH1Ahz3h0X9Njaij7",73,0.649,0.733,11,-8.462,0.3,0.0679,0.122,0.498,150.874
"germany","RAF Camora","hip hop","Blaues Licht","0Dvx6p8JDyzeOPGmaCIH1L","2Oi1IJ6JEUX1aya9VUAA1Z",72,0.819,0.828,8,-4.906,0.108,0.39,0.258,0.693,144.953
"germany","Lizzo","pop","About Damn Time","56oDRnqbIiwx4mymNEv7dS","1PckUlxKqWQs3RlWXVBLw3",93,0.836,0.743,10,-6.305,0.0656,0.0995,0.335,0.722,108.966
"germany","Tom Odell","pop","Another Love","2txHhyCwHjUEpJjWrEyqyX","7jtQIBanIiJOMS6RyCx6jZ",54,0.442,0.538,4,-8.55,0.0451,0.717,0.09,0.139,122.758
"germany","Rammstein","alternative metal","Dicke Titten","6wWVKhxIU2cEi0K81v7HvP","5KTBaWu8IOczQ0sPWzZ7MY",75,0.63,0.823,6,-4.857,0.0496,0.0205,0.0377,0.565,117.048
"germany","t-low","hip hop","Airbnb","3tQzzidoPfVifoURnDfgmD","6NEOchaTtFcnUR4pqDBJVf",61,0.775,0.572,4,-7.303,0.227,0.236,0.107,0.142,139.915
"germany","Malik Harris","other","Rockstars","7B6Uk58O2DVfg1xZPKEp4n","0LTn3UoaJkL42ltlGwWMxC",62,0.648,0.639,7,-6.429,0.23,0.453,0.38,0.521,81.004
"germany","Ed Sheeran","pop","Shivers","6eUKZXaKkcviH0Ku9w2n3V","50nfwKoDiSYg8zOCREWAm5",89,0.788,0.859,2,-2.724,0.0856,0.281,0.0424,0.822,141.02
"germany","ClockClock","other","Sorry","4NSzuIc0eGOftqr0tEOhJk","2MLIRLTx41VStC8Z5NJEG6",73,0.767,0.621,7,-4.814,0.0422,0.581,0.19,0.479,91.033
"germany","James Hype","pop","Ferrari","43BxCL6t4c73BQnIJtry5v","4zN21mbAuaD0WqtmaTZZeP",81,0.847,0.69,1,-7.877,0.0493,0.0127,0.0526,0.692,125.004
"germany","Maxwell","hip hop","Becher voll Schnapz","0b62itBWBdLgiecXjXCqKC","15UnoXqXqhniJdpYjsa7DR",64,0.613,0.582,11,-5.997,0.43,0.326,0.342,0.709,84.74
"germany","A1 x J1","drill","Night Away (Dance) (feat. Tion Wayne)","1WO1hFAkFbeo9tV3uVX7Dy","7z5G2LOdV8okZn4yWg3q5g",81,0.706,0.552,5,-9.479,0.0833,0.235,0.144,0.835,142.037
"germany","Endzone","hip hop","61 Grad (Deep House RMX)","7uK2QScoOUkqq8tvtvBIL7","5gRXyFtArVXYk8OOSWIXBO",71,0.895,0.553,7,-9.606,0.061,0.393,0.116,0.354,127.968
"germany","Dardan","hip hop","OBSESSED (feat. RAF Camora)","3pjq2pDV9RR6VY55wBjVnp","5t8abSvRpCuaLyDpRor2gD",73,0.764,0.692,0,-7.711,0.0413,0.161,0.0917,0.366,127.952
"germany","Pashanim","rap","Sommergewitter","34LetYSjEuG2fBb4Z8PwPg","2H7jZg2HliuQhZjfBblLrZ",72,0.787,0.531,11,-10.569,0.101,0.132,0.112,0.721,91.996
"germany","Harry Styles","pop","Late Night Talking","6KImCVD70vtIoJWnq6nGn3","1qEmFfgcLObUfQm0j1W2CK",93,0.714,0.728,10,-4.595,0.0468,0.298,0.106,0.901,114.996
"germany","Maneskin","indie","SUPERMODEL","0lAWpj5szCSwM4rUMHYmrr","63WuQOXohQIxOxIFA2K7bR",84,0.636,0.876,7,-3.413,0.0555,0.00164,0.117,0.799,120.983
